Month Start,Total_Quantity,Total_Revenue,Number_of_Orders,Number_of_Customers,Number_of_Transactions,Returns_Adjustments,Revenue_per_Order,Quantity_per_Order
2025-10-01,3141,113136.03,575,434,2083,2,196.75831304347827,5.4626086956521736
2025-11-01,5005,321573.55,1009,764,3246,4,318.7052031714569,4.960356788899901
2025-12-01,3010,140787.04,529,359,1777,0,266.1380718336484,5.689981096408317
2026-01-01,7557,557251.16,905,708,3857,0,615.747138121547,8.350276243093923
2026-02-01,18228,1331836.14,2557,2270,11014,0,520.8588736800938,7.128666405944466
2026-03-01,5614,238048.16,719,569,3059,0,331.082280945758,7.808066759388039
2026-04-01,4946,189953.18,886,718,3127,0,214.39410835214446,5.582392776523702
2026-05-01,6141,270891.88,839,641,3483,0,322.8747079856973,7.31942789034565
2026-06-01,4641,227553.94,695,517,2714,2,327.41574100719424,6.677697841726618
2026-07-01,7804,478800.47,892,698,4237,6,536.77182735426,8.748878923766815
