Month Start,Order Source,Total_Quantity,Total_Revenue,Number_of_Orders
2025-10-01,Admin Cart,172,6215.43,53
2025-10-01,Point of Sale,2969,106920.6,522
2025-11-01,Admin Cart,987,119309.84,260
2025-11-01,Point of Sale,3727,132563.71,628
2025-11-01,Web Store,291,69700.0,121
2025-12-01,Admin Cart,663,43722.2,95
2025-12-01,Point of Sale,2330,93224.84,426
2025-12-01,Web Store,17,3840.0,8
2026-01-01,Admin Cart,2568,234037.69,302
2026-01-01,Point of Sale,2994,132735.48,449
2026-01-01,Web Store,26,6600.0,12
2026-01-01,Wine Club,1969,183877.99,142
2026-02-01,Admin Cart,2456,195469.93,312
2026-02-01,Point of Sale,3434,138960.28,487
2026-02-01,Wine Club,12338,997405.93,1758
2026-03-01,Admin Cart,1540,53701.64,112
2026-03-01,Point of Sale,4064,183705.88,605
2026-03-01,Wine Club,10,640.64,2
2026-04-01,Admin Cart,649,19704.55,180
2026-04-01,Point of Sale,4193,165513.21,658
2026-04-01,Web Store,98,4300.0,47
2026-04-01,Wine Club,6,435.42,1
2026-05-01,Admin Cart,1584,76805.82,175
2026-05-01,Point of Sale,4542,193386.06,657
2026-05-01,Web Store,15,700.0,7
2026-06-01,Admin Cart,1366,87268.02,222
2026-06-01,Point of Sale,3270,140029.6,472
2026-06-01,Wine Club,5,256.32,1
2026-07-01,Admin Cart,3962,300283.75,401
2026-07-01,Point of Sale,3837,178196.4,490
2026-07-01,Wine Club,5,320.32,1
