customer_key,segment,cluster,hc_cluster,recency_days,tenure_yrs,orders_per_yr,bottles_per_yr,avg_btl_price,tasting_per_yr,events_per_yr,wine_variety,club_order_share,pickup_share,online_share,spend_per_yr,net_spend,n_orders,first_order,last_order,in_ca,local_slo
10008,New Members,2,1,40,0.2135523613963039,3,26,87.07692307692308,1,0,6,0,1,0,2264,2264,3,2025-08-14,2025-09-21,TRUE,TRUE
1003,Estate Regulars,1,2,234,12.120465434633813,3.919926067254949,18.902754590984976,77.15668202764977,1.0453136179346532,0.5226568089673266,13,0.08888888888888889,0.9777777777777777,0.3111111111111111,1495.9065060815647,17172.72,45,2013-09-17,2025-03-11,FALSE,FALSE
1004,Estate Regulars,1,1,343,12.123203285420944,1.8776621787025705,10.550673194614443,74.05932203389831,0.44706242350061204,0.44706242350061204,11,0,0.9523809523809523,0.42857142857142855,819.7980367197064,9168.720000000001,21,2013-09-16,2024-11-22,TRUE,FALSE
10042,New Members,2,3,61,0.1697467488021903,2,12,44,0,0,2,0,0,0,528,528,2,2025-08-30,2025-08-31,FALSE,FALSE
1005,Remote Collectors,3,3,87,11.586584531143053,2.291073582629674,10.486067551266585,73.82352941176471,0.5287092882991555,0,12,0.3076923076923077,0.8846153846153846,0.3076923076923077,775.7575150784077,8803.6,26,2014-03-31,2025-08-05,TRUE,FALSE
1006,Lapsing Members,4,3,80,12.106776180698152,0.84120221096269,4.710732381391064,78.32142857142857,0.084120221096269,0,7,0.5,0.1,0.4,368.95128972823585,4386,10,2013-09-22,2025-08-12,FALSE,FALSE
1007,Lapsing Members,4,3,81,12.114989733059549,1.4293853591160222,5.044889502762431,72.81666666666668,0.25224447513812154,0.16816298342541436,9,0.23529411764705882,0.9411764705882353,0.17647058823529413,367.3520372928177,4369.000000000001,17,2013-09-19,2025-08-11,TRUE,FALSE
1009,Lapsing Members,4,3,80,5.960301163586585,2.0901287553648067,17.766094420600858,86.41176470588235,0.17417739628040058,0,8,0.8333333333333334,0,0,1535.1995708154507,8814,12,2019-11-15,2025-08-12,FALSE,FALSE
1011,Remote Collectors,3,3,83,12.095824777549623,2.6119377162629758,20.55847750865052,68.89344262295081,0.1685121107266436,0.1685121107266436,13,0.06451612903225806,0.0967741935483871,0.8709677419354839,1558.7370242214533,18500,31,2013-09-26,2025-08-09,FALSE,FALSE
1012,Remote Collectors,3,3,81,12.123203285420944,1.7644927536231885,26.88750862663906,81.084375,0,0,12,0.6666666666666666,0,0.23809523809523808,2180.1568322981366,25947,21,2013-09-16,2025-08-11,FALSE,FALSE
1013,Lapsing Members,4,3,160,12.032854209445585,2.3286304604486423,4.2260330578512395,72.57551020408162,1.0349468713105077,0.17249114521841796,11,0.07407407407407407,0.9629629629629629,0.14814814814814814,336.01792561983467,3896.0599999999995,27,2013-10-19,2025-05-24,TRUE,FALSE
1015,Remote Collectors,3,3,275,11.457905544147843,2.3353580562659846,13.45166240409207,82.77777777777777,0.2802429667519181,0.09341432225063938,13,0.16,0.36,0.48,1116.629969309463,11953.52,25,2014-05-17,2025-01-29,TRUE,FALSE
1016,Lapsing Members,4,3,1184,6.034223134839151,1.790441176470588,8.594117647058823,78.75,0.35808823529411765,0,5,0.6,0.2,0,676.7867647058823,1890,5,2019-10-19,2022-08-04,FALSE,FALSE
1017,Estate Regulars,1,2,87,12.098562628336756,3.2882617728531853,13.574619113573407,81.79503105590062,0.6745152354570637,0.8431440443213296,11,0.2564102564102564,0.7692307692307693,0.23076923076923078,1372.6435630193905,16280.060000000001,39,2013-09-25,2025-08-05,TRUE,FALSE
1018,Estate Regulars,1,3,85,12.10403832991102,3.7064114391143907,16.931561346863468,70.44179104477612,1.4320226014760147,0.1684732472324723,13,0.09090909090909091,0.9545454545454546,0.1590909090909091,1199.0072532287822,14233.800000000001,44,2013-09-23,2025-08-07,TRUE,FALSE
1019,Remote Collectors,3,3,81,12.098562628336756,2.8627247579529738,34.77368603042877,80.41162227602905,0.5893845089903181,0.08419778699861687,13,0.11764705882352941,0.14705882352941177,0.5588235294117647,3039.540110650069,36100,34,2013-09-25,2025-08-11,FALSE,FALSE
1021,Remote Collectors,3,3,80,7.011635865845311,2.9443772672309554,16.635731559854896,84.40707964601769,0.14721886336154777,0.29443772672309554,11,0.65,0.15,0,1485.61057738815,10091.17,20,2018-10-27,2025-08-12,FALSE,FALSE
1022,Remote Collectors,3,3,91,12.120465434633813,3.790648062730627,72.6962061808118,80.24913093858633,0.08423662361623616,0,13,0.022222222222222223,0,0.26666666666666666,5836.334467250922,69285,45,2013-09-17,2025-08-01,FALSE,FALSE
1023,Remote Collectors,3,3,809,12.114989733059549,1.2121128318584071,18.78774889380531,71.69354838709677,0,0,9,0.4166666666666667,0,0.5,1346.9603844026549,13335,12,2013-09-19,2023-08-14,FALSE,FALSE
1027,Remote Collectors,3,2,94,12.123203285420944,2.3597138901707426,15.085313797877248,85.55307262569832,0.4213774803876326,0.33710198431010613,10,0.17857142857142858,0.7857142857142857,0.42857142857142855,1345.534142824181,15965.9,28,2013-09-16,2025-07-29,TRUE,FALSE
1029,Lapsing Members,4,3,86,10.811772758384668,0.378203468806627,1.7019156096298214,85.05555555555556,0.1891017344033135,0,6,0,1,0.25,156.20843321252912,1652.11,4,2015-01-08,2025-08-06,TRUE,FALSE
1030,Remote Collectors,3,3,80,12.10403832991102,1.430373185901866,11.35884588804423,70.05925925925929,0.252418797512094,0,11,0.23529411764705882,0.4117647058823529,0.4117647058823529,795.792328956462,9458.000000000004,17,2013-09-23,2025-08-12,TRUE,FALSE
1031,Remote Collectors,3,3,442,12.123203285420944,1.191231811339689,22.45013798294029,77.34693877551021,0,0,11,0.07692307692307693,0,0.5384615384615384,1736.4494480682388,18950,13,2013-09-16,2024-08-15,FALSE,FALSE
1032,Lapsing Members,4,3,451,12.101300479123887,1.5644368858654574,6.533824640967499,73.19718309859155,0.18405139833711262,0.09202569916855631,7,0.29411764705882354,0.9411764705882353,0.35294117647058826,478.2575585789872,5197,17,2013-09-24,2024-08-06,TRUE,FALSE
1034,Lapsing Members,4,3,83,8.021902806297057,1.7961011591148577,6.158061116965227,58.074999999999996,0.3848788198103267,0.12829293993677557,9,0,1,0.35714285714285715,357.6293993677555,2787.6,14,2017-10-23,2025-08-09,TRUE,TRUE
1035,Remote Collectors,3,3,87,11.137577002053389,1.4679728711379052,10.642803315749813,73.38793103448276,0.09174830444611907,0,10,0.3125,0.0625,0.375,781.0533157498116,8513,16,2014-09-11,2025-08-05,FALSE,FALSE
1036,Lapsing Members,4,3,80,12.11772758384668,0.6723423838011965,5.546824666359871,74.81818181818181,0,0,8,0.75,0,0,415.00333640128855,4938,8,2013-09-18,2025-08-12,FALSE,FALSE
1037,Remote Collectors,3,3,87,12.10403832991102,2.106887401938163,11.714293954776188,70.58273381294964,0.5056529764651592,0,12,0.16,0.4,0.52,873.1784148592524,10361,25,2013-09-23,2025-08-05,TRUE,FALSE
1038,Estate Regulars,1,2,94,12.120465434633813,4.130452342487883,20.65226171243942,79.18367346938776,0.42147472882529424,1.4330140780060006,13,0.10204081632653061,0.9387755102040817,0.46938775510204084,1830.9671451650127,21720.96,49,2013-09-17,2025-07-29,TRUE,TRUE
1039,Estate Regulars,1,2,644,4.287474332648871,5.5460954446854664,22.184381778741866,87.57142857142857,2.3768980477223427,0.7922993492407809,9,0.2857142857142857,1,0,1942.7180043383948,4904,14,2021-07-18,2024-01-26,TRUE,TRUE
1040,New Members,2,1,80,1.0130047912388775,3,17,79.76470588235294,1,0,7,0.3333333333333333,0.3333333333333333,0,1356,1356,3,2024-10-26,2025-08-12,TRUE,TRUE
1041,Lapsing Members,4,3,80,12.093086926762492,0.5053032049804012,8.421720083006687,75.92,0,0,10,0.5,0.16666666666666666,0.3333333333333333,639.3769887018676,7592,6,2013-09-27,2025-08-12,FALSE,FALSE
1044,Remote Collectors,3,3,86,11.145790554414784,1.9247804265997488,8.798996235884566,86.01041666666667,0.5499372647427854,0.18331242158092848,8,0.14285714285714285,0.8095238095238095,0.38095238095238093,865.1356411543287,9438.92,21,2014-09-08,2025-08-06,TRUE,FALSE
1045,Remote Collectors,3,3,262,12.11772758384668,0.7894452449567724,8.508465417867436,74.6701030927835,0.08771613832853026,0.08771613832853026,11,0.1111111111111111,0.1111111111111111,0.6666666666666666,635.3279899135447,7243,9,2013-09-18,2025-02-11,FALSE,FALSE
1046,Remote Collectors,3,3,80,12.123203285420944,2.436120055197792,15.120745170193192,77.26666666666667,0.08400413983440662,0.3360165593376265,10,0.2413793103448276,0.3103448275862069,0.41379310344827586,1512.6995078196874,18007.440000000002,29,2013-09-16,2025-08-12,TRUE,FALSE
1047,Remote Collectors,3,3,92,12.11772758384668,1.5169589293954775,17.44502768804799,82.89855072463769,0,0,12,0.3888888888888889,0,0.4444444444444444,1459.6515920627594,17320,18,2013-09-18,2025-07-31,FALSE,FALSE
